,XREF ID,XREF ID,XREF ID,CaseID,CaseID,CaseID,resolution_min,resolution_min,resolution_min,hour,hour,hour,units_count,units_count,units_count
,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
cluster_best,,,,,,,,,,,,,,,
0,2025161571.9275956,2025159666.0,732,637.2226775956284,632.5,732,,,0,17.76912568306011,18.0,732,1.4617486338797814,1.0,732
1,2025273305.4509804,2025274112.5,918,1735.6742919389978,1741.5,918,,,0,13.519607843137255,14.0,918,1.4542483660130718,1.0,918
2,2025163481.5363636,2025162223.5,550,656.9163636363636,671.5,550,,,0,7.370909090909091,8.0,550,1.3909090909090909,1.0,550
