,DISPATCH UNIT,DISPATCH UNIT,DISPATCH CREATED DATE,DISPATCH CREATED DATE,INCIDENT NUMBER,INCIDENT NUMBER,1ST UNIT ON SCENE,1ST UNIT ON SCENE,ALARM DATE TIME,ALARM DATE TIME,CALL COMPLETE,CALL COMPLETE,SHIFT,SHIFT,ALARM DATE TIME_dt,ALARM DATE TIME_dt,dow,dow
,nunique,top3,nunique,top3,nunique,top3,nunique,top3,nunique,top3,nunique,top3,nunique,top3,nunique,top3,nunique,top3
cluster_best,,,,,,,,,,,,,,,,,,
0,37,LDR175:252; E171:135; E172:96,699,6/7/25 23:28:6; 6/2/25 19:23:3; 6/7/25 23:29:3,732,25-2849:1; 25-1368:1; 25-1369:1,11,L-175:241; E-171:181; nan:161,724,nan:4; 5/1/25 15:26:2; 6/2/25 19:18:2,454,9/5/25 19:10:6; 9/5/25 18:55:5; 9/5/25 17:20:5,4,B:244; A:242; C:228,724,Unknown:4; 2025-05-01 15:26:00:2; 2025-06-02 19:18:00:2,7,Monday:123; Saturday:120; Thursday:106
1,25,LDR175:260; E172:182; E171:139,891,6/23/25 11:38:2; 6/27/25 15:38:2; 6/28/25 11:18:2,918,25-4056:1; 25-2620:1; 25-2621:1,7,L-175:338; E-171:208; E-172:198,897,nan:20; 7/4/25 23:37:2; 7/28/25 16:17:2,661,nan:20; 9/5/25 17:33:4; 9/5/25 11:30:4,4,A:313; C:304; B:267,897,Unknown:20; 2025-07-04 23:37:00:2; 2025-07-28 16:17:00:2,7,Friday:145; Wednesday:136; Tuesday:136
2,26,LDR175:171; E172:111; E171:90,543,5/19/25 10:18:2; 5/12/25 10:08:2; 5/7/25 8:43:2,550,25-3105:1; 25-1375:1; 25-1376:1,9,L-175:161; nan:141; E-171:118,540,nan:7; 6/12/25 10:28:2; 5/12/25 10:04:2,371,nan:7; 9/5/25 12:55:5; 9/5/25 10:23:5,4,C:187; A:180; B:166,540,Unknown:7; 2025-06-12 10:28:00:2; 2025-05-12 10:04:00:2,7,Tuesday:92; Wednesday:90; Monday:90
